name	birthdate
Chris Hemsworth	NULL
Michael Lerner	NULL
Rosario Dawson	NULL
Jeffrey Wright	NULL
Emily Watson	NULL
Patrick Swayze	NULL
Nicholas Hoult	NULL
Marcello Mastroianni	NULL
Famke Janssen	NULL
Abbie Cornish	NULL
Carole Lombard	NULL
Nick Nolte	NULL
Pierce Brosnan	NULL
Rose Byrne	NULL
Jason Robards	NULL
Lake Bell	NULL
Hugo Weaving	NULL
Sean Penn	1960-08-17
Henry Fonda	1905-05-16
Lillian Gish	NULL
Hugh Grant	NULL
Josh Hutcherson	NULL
Catalina Sandino Moreno	NULL
Ida Lupino	NULL
Greg Kinnear	NULL
Jason Statham	NULL
Catherine Keener	NULL
Justin Bartha	NULL
Andrew Garfield	NULL
Ned Beatty	NULL
Ethan Hawke	NULL
Antonio Banderas	NULL
Norman Reedus	NULL
James Stewart	1908-05-20
Jennifer Garner	NULL
Jean Arthur	NULL
Zoe Saldana	NULL
Robert Forster	NULL
Shia LaBeouf	NULL
Faye Dunaway	1941-01-14
Ava Gardner	NULL
John Houseman	NULL
Claire Danes	NULL
Kirsten Dunst	NULL
Greta Garbo	NULL
Jennifer Jones	1919-03-02
Emily Browning	NULL
Thomas Mitchell	NULL
Javier Bardem	NULL
Sam Waterston	NULL
Martin Balsam	NULL
James Franco	NULL
Emma Watson	NULL
Spencer Tracy	1900-04-05
Sophie Marceau	NULL
Chiwetel Ejiofor	NULL
Bruce Willis	NULL
Joey King	NULL
Emilia Clarke	NULL
Tatum O'Neal	NULL
Queen Latifah	NULL
Oscar Isaac	NULL
Alec Guinness	1914-04-02
Naomi Watts	NULL
Doris Day	NULL
Janet Leigh	NULL
Tyrese Gibson	NULL
Stellan Skarsgård	NULL
Donald Sutherland	NULL
Léa Seydoux	NULL
Marion Cotillard	1975-09-30
Michelle Rodriguez	NULL
Melanie Griffith	NULL
Michelle Trachtenberg	NULL
Benedict Cumberbatch	NULL
Steve Carell	NULL
Rashida Jones	NULL
Joe Pesci	NULL
Rebecca Hall	NULL
Suraj Sharma	NULL
Felicity Jones	NULL
William Shatner	NULL
Mercedes McCambridge	NULL
Jude Law	NULL
Evangeline Lilly	NULL
Christopher Lee	NULL
Alexander Skarsgård	NULL
Piper Laurie	NULL
Sam Elliott	NULL
Ellen Burstyn	1932-12-07
Rosie Huntington-Whiteley	NULL
Simone Signoret	1921-03-25
Charlize Theron	1975-08-07
Jackie Chan	NULL
Rinko Kikuchi	NULL
Jay Baruchel	NULL
Celeste Holm	NULL
Liza Minnelli	1946-03-12
Andy Samberg	NULL
Keira Knightley	NULL
Deborah Kerr	NULL
George Burns	NULL
Armin Mueller-Stahl	NULL
Virginia Madsen	NULL
Katharine Hepburn	1907-05-12
Aaron Taylor-Johnson	NULL
Eva Mendes	NULL
Bryan Cranston	NULL
Richard Jenkins	NULL
Setsuko Hara	NULL
Richard Gere	NULL
Kaley Cuoco	NULL
Johnny Depp	NULL
Mila Kunis	NULL
Richard Dreyfuss	1947-10-29
Jack Palance	NULL
Robin Weigert	NULL
Jessica Chastain	NULL
Michael Rooker	NULL
Rod Steiger	1925-04-14
Paddy Considine	NULL
Joseph Cotten	NULL
Jane Wyman	1914-01-04
Lindsay Lohan	NULL
Evan Rachel Wood	NULL
Thora Birch	NULL
Robert Mitchum	NULL
Bernie Mac	NULL
George Kennedy	NULL
Tim Roth	NULL
Olivia Wilde	NULL
Ashley Judd	NULL
Eric Bana	NULL
Albert Brooks	NULL
Elisabeth Moss	NULL
Robert Shaw	NULL
Cameron Diaz	NULL
Ashley Greene	NULL
Judy Davis	NULL
Paul Lukas	1895-05-26
Cate Blanchett	1969-05-14
Adam Sandler	NULL
Olivia Thirlby	NULL
Julia Stiles	NULL
Anthony Perkins	NULL
Gal Gadot	NULL
Dean Stockwell	NULL
George Chakiris	NULL
Donald Crisp	NULL
Vivien Leigh	1913-11-05
