year	title	rating	author	content	hash	webpage
2021	You're Watching Video Music Box	7.7	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/you're_watching_video_music_box_2021
1982	The Simple-Minded Murderer	7.6	Andy Connor	I didn't understand the dialogues cause i don't speak swedish	3d473f434cde8dee40278a3e86d6571d	https://andysreviews.org/wordpress/andy_connor/the_simple-minded_murderer_1982
2022	Gabby Giffords Won't Back Down	6.2	Andy Connor	A good Documentary	2d7b8dde189fb9eda0425cb0b56fc000	https://andysreviews.org/wordpress/andy_connor/gabby_giffords_won't_back_down_2022
2022	Wedding Season	6.3	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/wedding_season_2022
2021	The Man from Nowhere	5.9	Andy Connor	That's what I call a great choice!	e4ff1ce9d534ec51e9fba52d1b2aab50	https://andysreviews.org/wordpress/andy_connor/the_man_from_nowhere_2021
2022	Loving Highsmith	7.1	Andy Connor	A good Documentary	2d7b8dde189fb9eda0425cb0b56fc000	https://andysreviews.org/wordpress/andy_connor/loving_highsmith_2022
2022	The Day the Music Died/American Pie	7.1	Andy Connor	A good Documentary	2d7b8dde189fb9eda0425cb0b56fc000	https://andysreviews.org/wordpress/andy_connor/the_day_the_music_died/american_pie_2022
2022	How Did We Get Here?	7.1	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/how_did_we_get_here?_2022
2021	Too Soon: Comedy After 9/11	6.8	Andy Connor	A good movie even for a Documentary	696ed7e99573ceab99df12a219dae0dc	https://andysreviews.org/wordpress/andy_connor/too_soon:_comedy_after_9/11_2021
2004	Kinsey	7.1	Andy Connor	A good movie to watch with your couple	b4a997711fb339ef16b796c4cd2beb15	https://andysreviews.org/wordpress/andy_connor/kinsey_2004
