year	movie	actor
1992	Glengarry Glen Ross	Al Pacino
1995	Two Bits	Al Pacino
2002	Insomnia	Al Pacino
1988	She's Having a Baby	Alec Baldwin
1988	Beetlejuice	Alec Baldwin
1988	Married to the Mob	Alec Baldwin
1988	Working Girl	Alec Baldwin
1988	Talk Radio	Alec Baldwin
1989	Great Balls of Fire!	Alec Baldwin
1990	The Hunt for Red October	Alec Baldwin
1990	Miami Blues	Alec Baldwin
1990	Alice	Alec Baldwin
1991	The Marrying Man	Alec Baldwin
1992	Prelude to a Kiss	Alec Baldwin
1992	Glengarry Glen Ross	Alec Baldwin
1993	Malice	Alec Baldwin
1994	The Getaway	Alec Baldwin
1994	The Shadow	Alec Baldwin
1995	Two Bits	Alec Baldwin
1996	The Juror	Alec Baldwin
1996	Heaven's Prisoners	Alec Baldwin
1996	Ghosts of Mississippi	Alec Baldwin
1997	The Edge	Alec Baldwin
1998	Mercury Rising	Alec Baldwin
1999	The Confession	Alec Baldwin
1999	Notting Hill	Alec Baldwin
1999	Outside Providence	Alec Baldwin
2000	Thomas and the Magic Railroad	Alec Baldwin
2000	State and Main	Alec Baldwin
2001	Pearl Harbor	Alec Baldwin
2001	Cats & Dogs	Alec Baldwin
2001	Final Fantasy: The Spirits Within	Alec Baldwin
2001	The Royal Tenenbaums	Alec Baldwin
2002	The Adventures of Pluto Nash	Alec Baldwin
2003	The Cooler	Alec Baldwin
2003	The Cat in the Hat	Alec Baldwin
2004	Along Came Polly	Alec Baldwin
2004	The Aviator	Alec Baldwin
2005	Elizabethtown	Alec Baldwin
2006	Mini's First Time	Alec Baldwin
2006	The Departed	Alec Baldwin
2006	Running with Scissors	Alec Baldwin
2006	The Good Shepherd	Alec Baldwin
2007	Suburban Girl	Alec Baldwin
2008	My Best Friend's Girl	Alec Baldwin
2009	My Sister's Keeper	Alec Baldwin
2011	Hick	Alec Baldwin
2011	Hick	Alec Baldwin
2012	Rock of Ages	Alec Baldwin
2012	To Rome with Love	Alec Baldwin
2012	Rise of the Guardians	Alec Baldwin
2013	Blue Jasmine	Alec Baldwin
2013	Seduced and Abandoned	Alec Baldwin
2014	Still Alice	Alec Baldwin
2015	Aloha	Alec Baldwin
2015	Concussion	Alec Baldwin
2016	Back in the Day	Alec Baldwin
2015	Andron	Alec Baldwin
2016	Paris Can Wait	Alec Baldwin
2016	Blind	Alec Baldwin
2016	Rules Don't Apply	Alec Baldwin
2017	The Boss Baby	Alec Baldwin
2018	The Public	Alec Baldwin
2018	BlacKkKlansman	Alec Baldwin
2018	A Star Is Born	Alec Baldwin
2019	Before You Know It	Alec Baldwin
2019	Drunk Parents	Alec Baldwin
2019	Crown Vic	Alec Baldwin
2019	Crown Vic	Alec Baldwin
2019	Motherless Brooklyn	Alec Baldwin
2019	Arctic Dogs	Alec Baldwin
2020	Beast Beast	Alec Baldwin
2020	Pixie	Alec Baldwin
2020	Chick Fight	Alec Baldwin
2021	The Boss Baby: Family Business	Alec Baldwin
1997	The Edge	Anthony Hopkins
1997	Amistad	Anthony Hopkins
2011	Thor	Anthony Hopkins
2013	Thor: The Dark World	Anthony Hopkins
