title	year	name
Clue	1985	NULL
Miami Blues	1990	George Armitage
Stardust	2007	Matthew Vaughn
Infinitum: Subject Unknown	2021	NULL
The Aviator	2004	Martin Scorsese
Paris Can Wait	2016	NULL
The Three Musketeers	1993	NULL
Rise of the Guardians	2012	NULL
Six Degrees of Separation	1993	NULL
X-Men: The Last Stand	2006	NULL
My Sister's Keeper	2009	NULL
The Shadow	1994	NULL
Our Kind of Traitor	2016	NULL
Heaven's Prisoners	1996	NULL
Two Bits	1995	James Foley
Annie	1982	John Huston
Still Alice	2014	NULL
Kinsey	2004	NULL
Out Stealing Horses	2019	NULL
Mini's First Time	2006	NULL
Congo	1995	NULL
Chick Fight	2020	NULL
The Lord of the Rings: The Return of the King	2003	Peter Jackson
Drunk Parents	2019	NULL
Rules Don't Apply	2016	NULL
Pixie	2020	NULL
Thor	2011	Kenneth Branagh
Arctic Dogs	2019	NULL
Elizabethtown	2005	Cameron Crowe
BlacKkKlansman	2018	Spike Lee
Seduced and Abandoned	2013	NULL
The Cat in the Hat	2003	NULL
Harlan County War	2000	NULL
Oscar	1991	John Landis
The Unbearable Lightness of Being	1988	Philip Kaufman
Great Balls of Fire!	1989	NULL
Insomnia	2002	NULL
Cats & Dogs	2001	NULL
Deep Blue Sea	1999	NULL
Restoration	1995	NULL
The Avengers	2012	Joss Whedon
The Marrying Man	1991	NULL
The Boss Baby	2017	NULL
Insomnia	1997	NULL
The Hobbit: An Unexpected Journey	2012	Peter Jackson
Back in the Day	2016	NULL
Final Fantasy: The Spirits Within	2001	NULL
The Avengers	1998	Joss Whedon
My Best Friend's Girl	2008	NULL
The Man Who Killed Don Quixote	2018	Terry Gilliam
In Order of Disappearance	2014	NULL
The Royal Tenenbaums	2001	Wes Anderson
The Good Shepherd	2006	Robert De Niro
The Hobbit: The Desolation of Smaug	2013	Peter Jackson
Alice	1990	Woody Allen
Timecode	2000	Mike Figgis
The Getaway	1994	Roger Donaldson
The Lord of the Rings: The Fellowship of the Ring	2001	Peter Jackson
Cinderella	2015	Kenneth Branagh
Thomas and the Magic Railroad	2000	NULL
The Edge	1997	Lee Tamahori
No Good Deed	2002	Bob Rafelson
Scary Movie 2	2001	NULL
Dogville	2003	Lars Von Trier
Concussion	2015	NULL
Legend	1985	Ridley Scott
Along Came Polly	2004	NULL
Before You Know It	2019	NULL
Flushed Away	2006	NULL
The Rocky Horror Picture Show	1975	NULL
To Rome with Love	2012	Woody Allen
The Shout	1978	NULL
The Da Vinci Code	2006	Ron Howard
Good Will Hunting	1997	Gus Van Sant
Glengarry Glen Ross	1992	James Foley
Plenty	1985	NULL
The Good Liar	2019	NULL
Blue Jasmine	2013	Woody Allen
Malice	1993	NULL
Working Girl	1988	Mike Nichols
She's Having a Baby	1988	John Hughes
Rock of Ages	2012	NULL
Mr. Holmes	2015	NULL
Notting Hill	1999	NULL
Scandal	1989	NULL
The Confession	1999	NULL
A Star Is Born	2018	NULL
Suburban Girl	2007	NULL
Andron	2015	NULL
The Promise	2016	NULL
The Cooler	2003	NULL
Times Square	1980	NULL
The Hunt for Red October	1990	John McTiernan
Crown Vic	2019	NULL
Amistad	1997	Steven Spielberg
The Departed	2006	Martin Scorsese
Return to Montauk	2017	NULL
Prelude to a Kiss	1992	NULL
Running with Scissors	2006	NULL
Beetlejuice	1988	Tim Burton
Beast Beast	2020	NULL
The Boss Baby: Family Business	2021	NULL
Mercury Rising	1998	NULL
Talk Radio	1988	Oliver Stone
Dune	1984	Denis Villeneuve
Motherless Brooklyn	2019	NULL
Gods and Monsters	1998	NULL
Blind	2016	NULL
State and Main	2000	NULL
Home Alone 2: Lost in New York	1992	NULL
Avengers: Age of Ultron	2015	Joss Whedon
Married to the Mob	1988	Jonathan Demme
Thor: The Dark World	2013	NULL
McHale's Navy	1997	NULL
Dancer in the Dark	2000	Lars Von Trier
The Wolverine	2013	James Mangold
Jim & Piraterna Blom	1987	NULL
Priest of Love	1981	NULL
Angels & Demons	2009	Ron Howard
The Public	2018	NULL
Hick	2011	NULL
Ritual	2002	NULL
Muppet Treasure Island	1996	NULL
Melancholia	2011	Lars Von Trier
Pirates of the Caribbean: Dead Man's Chest	2006	Gore Verbinski
The Secret of Moonacre	2008	NULL
Aloha	2015	Cameron Crowe
The Ploughman's Lunch	1983	Richard Eyre
Outside Providence	1999	NULL
Ghosts of Mississippi	1996	Rob Reiner
Mamma Mia!	2008	NULL
X-Men: Days of Future Past	2014	Bryan Singer
Charlie's Angels	2000	NULL
The Simple-Minded Murderer	1982	NULL
Pearl Harbor	2001	NULL
No Good Deed	2014	Bob Rafelson
Neverwas	2005	NULL
Ronin	1998	John Frankenheimer
The Hobbit: The Battle of the Five Armies	2014	Peter Jackson
Loaded Weapon 1	1993	NULL
Last Action Hero	1993	John McTiernan
Swept from the Sea	1997	NULL
The Girl with the Dragon Tattoo	2011	David Fincher
The Adventures of Pluto Nash	2002	NULL
Apt Pupil	1998	Bryan Singer
The Juror	1996	NULL
Breaking the Waves	1996	Lars Von Trier
